Elapsed time,LoadExamResultsHomePage (failure),LoadExamResultsHomePage (success),LoadExamResultsHomePage-0 (success),LoadExamResultsHomePage-1 (failure),LoadExamResultsHomePage-1 (success),SearchExamResults (failure),SearchExamResults (success),SearchExamResults-0 (success),SearchExamResults-1 (failure),SearchExamResults-1 (success),SearchExamResults-2 (failure),SearchExamResults-2 (success)
16:47:42.0,2.0,31.0,1.0,,31.0,,55.0,8.0,,53.0,,59.0
16:47:43.0,,,,,,1.0,,,,,,
16:47:44.0,,11.0,7.0,,11.0,,14.0,28.0,,15.0,,13.0
16:47:45.0,44.0,6.0,4.0,,6.0,,10.0,,,10.0,,10.0
16:47:46.0,1.0,8.0,3.0,,8.0,7.0,4.0,3.0,,3.0,,3.0
16:47:47.0,2.0,5.0,3.0,,5.0,,1.0,1.0,,2.0,,1.0
16:47:48.0,7.0,6.0,,6.0,,4.0,20.0,,20.0,,20.0,
16:47:49.0,,33.0,16.0,,33.0,,18.0,6.0,,17.0,,17.0
16:47:51.0,,12.0,2.0,,12.0,,2.0,,,2.0,,1.0
16:47:52.0,,5.0,20.0,,5.0,,7.0,,,7.0,,8.0
16:47:53.0,11.0,14.0,23.0,6.0,8.0,32.0,2.0,,,3.0,,1.0
16:47:54.0,,5.0,5.0,,5.0,,2.0,2.0,,2.0,,2.0
16:47:56.0,,34.0,102.0,,34.0,,26.0,106.0,,25.0,,26.0
16:47:58.0,,12.0,2.0,,12.0,,6.0,2.0,,6.0,,6.0
16:47:59.0,,5.0,9.0,,5.0,,4.0,11.0,,4.0,,4.0
16:48:00.0,10.0,44.0,10.0,36.0,8.0,33.0,48.0,,48.0,2.0,47.0,2.0
16:48:01.0,1.0,5.0,10.0,,5.0,,1.0,,,1.0,,1.0
16:48:03.0,2.0,35.0,16.0,4.0,31.0,,13.0,17.0,4.0,12.0,3.0,11.0
16:48:04.0,54.0,1.0,,1.0,,11.0,,,,,,
16:48:05.0,2.0,20.0,1.0,10.0,10.0,,6.0,5.0,,4.0,,10.0
16:48:06.0,,4.0,6.0,,4.0,,5.0,2.0,,9.0,,2.0
16:48:07.0,,13.0,28.0,,13.0,,26.0,11.0,,21.0,,23.0
16:48:08.0,,6.0,6.0,,6.0,,1.0,22.0,,,,1.0
16:48:10.0,,30.0,30.0,,30.0,,11.0,29.0,,10.0,,12.0
16:48:11.0,1.0,,,,,31.0,,,,,,
16:48:12.0,1.0,10.0,27.0,,10.0,18.0,31.0,28.0,13.0,19.0,13.0,17.0
16:48:13.0,,4.0,6.0,,4.0,,1.0,,,1.0,,1.0
16:48:14.0,,14.0,12.0,,14.0,,2.0,8.0,,1.0,,2.0
16:48:15.0,13.0,6.0,7.0,,6.0,3.0,,,,,,
16:48:16.0,46.0,24.0,,24.0,,63.0,25.0,,25.0,,25.0,
16:48:17.0,1.0,29.0,39.0,,29.0,4.0,33.0,38.0,,33.0,,34.0
16:48:19.0,,10.0,2.0,,10.0,,8.0,3.0,,8.0,,8.0
16:48:20.0,16.0,4.0,1.0,,4.0,,1.0,,,1.0,,1.0
16:48:21.0,9.0,16.0,34.0,1.0,15.0,,17.0,46.0,1.0,17.0,1.0,16.0
16:48:22.0,,6.0,5.0,,6.0,16.0,1.0,4.0,,1.0,,1.0
16:48:23.0,2.0,,,,,7.0,,,,,,
16:48:24.0,3.0,26.0,8.0,1.0,25.0,4.0,17.0,14.0,,19.0,,19.0
16:48:25.0,6.0,14.0,,14.0,,8.0,21.0,,21.0,,21.0,
16:48:26.0,3.0,14.0,16.0,4.0,10.0,2.0,9.0,5.0,2.0,7.0,3.0,7.0
16:48:27.0,9.0,2.0,35.0,,2.0,62.0,5.0,,,5.0,,5.0
16:48:28.0,,14.0,49.0,,14.0,,16.0,17.0,,19.0,,16.0
16:48:29.0,,13.0,7.0,,13.0,,21.0,5.0,,15.0,,18.0
